Q	A	label
존나	아 존나.. 왜 이러냐	0
삼각김밥	삼각김밥이랑닭하나먹으니까준나배부르네...	0
다른	왜 다른게 없으면 걍 암것도 없는거같지?	0
건가	이게 사는 건가 죽어가는 거 아닌가 뒤지고싶다	0
정말,행동,성격,아무	정말 우울하네 나도 좆대로 행동하는 성격으로 태어났으면 좋았을텐데 아니면 아무도 나를 알지 못하는 곳으로 가고싶다	0
버스,생각,아므,생각,멍하니,지금,창문,기분	버스에 앉아 가만히 있으면 안좋은 생각만 떠오르네 아므 생각없이 멍하니 있고싶다 지금은 넘나리 창문깨고 앞구르기 하고싶은 기분~	0
장례식	내 장례식은 하지않았으면 좋겠어	0
붕어빵,계절	붕어빵이 생각나는 계절..	0
생각	밝은생각만하기@@	0
프로이트,의자,정도	- 프로이트의 의자 中, 정도언 저 -	0
남자	그러니까 남자 춤추는거 보지마 ㅎ 나도싫어...	0
내일	내일은 좋은 일이 있기를	0
장염,학교,가면	또 장염 걸려서 학교 못 가면 어쩌지	0
새끼,때문,잠도,자고	이 새끼 때문에 잠도 못 자고 뭐하는거지	0
새끼	왜 말을 안 들어 몸 새끼야	0
내일,도로,주행,시험,졸음,운전	내일 도로주행 시험 보는데 졸음운전 하는 거 아냐	0
월요일,월요일,월요일,월요일,월요일,월요일,월요일,이기	월요일싫어월요일싫어월요일싫어월요일싫어월요일싫어월요일싫어월요일싫어ㅝㄹ요이기	0
어차피	근데 이게편하고 어차피 죽을거 근데 너무 괴롭다	0
짜장면	짜장면 먹고 싶다	0
숨기	에효 낼은 또 어떻게 내맘을 숨기지	0
번호,애도,얘기,안녕	너 내 번호도 모르고 그애도 아니면 너랑 얘기 안할거야. 안녕. 	0
정신병	정신병 걸릴 것 같음	0
전화,거구	전화 온적이 없었다는 거구나.	0
바보	못 주는 내가 바보다 휴.	0
전화	너는 소심해서 전화 못걸고. 이게 뭡니까.....이게....!!!!!	0
려고,선물	너 주려고 선물도 샀어 와라와라와라와라와라와라 응???????	0
진짜,진짜,진짜	아 너무 비참해 진짜로 너무 진짜로 진짜	0
역시,자살	역시 자살밖에 없어ㅓ	0
안면,근육,움직임	안면 근육의 비열한 움직임	0
마음속,서든,서든	마음속에서든밖에서든날	0
새벽	불안하게 만드는 새벽이 찾아오기전에	0
질문,마흔,질문,심리학,병신	너무 멍청한 질문을 하던데 마흔 다되어서 그딴 질문하는 꼴 보면 심리학책이나 깔짝대는 병신인가	0
팔이,지리,의사,새끼,시발	그래도 너는 돌팔이에 모지리야 내가 의사새끼한테 또 당하다니 시발	0
의사,설마,팔이,새끼	의사도 아닌데 설마 그런 건 아니지? 돌팔이 새끼들	0
리셋,무료함,사랑,감정,헤어	잊어버리고싶다 뇌를 리셋시키고싶다 죽어버리고싶다 이 무료함에서 벗어나고싶다 널 좋아하는, 사랑하는 감정에서 헤어나오고 싶다	0
마음,주체	내 마음이 그저 주체할 수 없이 커져버린 걸지도	0
모니터,사람,요즘,과대망상,몰입	적어도 모니터속의 너는 따스한사람인데 왜 나에게 요즘 차가울까 내 과대망상 과몰입이겠지만	0
다시,현실,감각,모니터,모습,컴퓨터,허망,무료함	다시 현실로 돌아오는 감각이 싫다 모니터 속의 나는 내가 아니다 내가 아닌 그 모습이 좋다 컴퓨터를 끄면 몰려오는 허망함과 무료함이 사무치게 싫다	0
몇개,사이,마음,건가	날 좋아하잖아 너도...몇개월 사이에 마음이 변해버린건가	0
가치	아~ 그럴 가치도 없어서?ㅋㅋ	0
이득	어리잖아 나 엄청 어리잖아 이득아냐?	0
상관,어차피	상관 없나 어차피?ㅋㅋ	0
세상,제일,래야	세상에서 제일 멋져. 작아질래야 작아질 수 없는데??	0
계속,어제,마리,이씨,모기,모기,모기,모기,화형	물린거 가려워 죽겠어  죽여도 죽여도 계속 나오고  어제만 10마리 넘게 잡았는데 가려워 죽겠어  으이씨 모기 모기 모기 모기  다 잡아서 화형시켜 버리고 싶음	0
손절법	ㅠㅠㅠ너만의 손절법???	0
혼자,바보	혼자 바보가 되어 남겨졌고 맨날 울었고 그럼에도 널 찾아 헤맸고 이젠 니가 나에게 와줬으면 해 기다릴게	0
이번,차례,항상,몇번	이번에는 네가 나에게 전화할 차례야. 난 항상 몇번이나 너에게 전화했는걸	0
모습,보고	나에게 너를 좀 보여주면 좋을텐데 꼭 좋은 모습만 보고싶은거 아닌데 나에게 다가오는건 힘들지?? 내가 다가가는것도 싫고?? 그런거야??	0
식이,딴사람,인척,정말,대해,대해,정말,멍청이,바보,똥개	이런 식이야 아닌척 모르는척 딴사람인척 정말 너에 대해서 모르겠는건 나인데 너에 대해서 아는게 없네... 나 정말 멍청이 바보 똥개	0
거지	나 돈도 없는 거지인거 잘 알면서 왜 그런말을	0
생각	그런데 맘대로 생각하지마	0
잔뜩	내 글만 잔뜩 ㅎㅎㅎ	0
무슨,그냥,가도	가고싶으면 가는거지 무슨 말이 그렇게 많아. 괜찮아. 그냥 가도 돼.	0
이제,자유	미안해. 이제 너는 자유야.	0
사람,누구,잘잘못,잘못	사람이 좋고 싫어지는건 누구의 잘잘못도 아니야 떠나고 싶으면 떠나는게 맞는거고. 그건 너의 잘못이 아니란다. 떠나고 싶을때 떠나렴	0
레알,포켓몬,파괴,광선,개존나쌔,쩐다,뮤츠,뮤츠,개쌤,동력,존나,고함,오오,오옷,굿잡	레알? ㅇㅇ 그포켓몬 파괴광선 날릴수있음 개존나쌔다. 와 개쩐다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그럼 뮤츠는? 뮤츠 개쌤 ㅋㅋ 염동력! 쓰면 존나쌔진다고함 오오오옷 굿잡인데 ㅋㅋㅋㅋ 맞어	0
진짜,진짜,이제,자격증,생각	진짜? 어 진짜임 ㅋㅋ 와 씹오지네 ㅋㅋㅋㅋㅋㅋㅋ 개부럽다 ㅋㅋㅋㅋ 이제 자격증도 땄겠다. 행복하게 살려고 ㅋㅋㅋㅋ 좋은생각이네 ㅋㅋ	0
태도,존나,씨발련,어깨,어진,씨발,태도,존나,씨발	태도 존나 좆같음 씨발련이 목 어깨 휘어진 씨발련 태도 왔다리갔다리 존나 하네 씨발련	0
역시,가망	역시 가망성이 없어??	0
소리	전화하면 딴소리 할텐데	0
남자,과거,과거,존나,생각,새끼	쓰면서도 내가 무슨말을 하는건지 몰라서 걍 다 지웠다 좆같네  남자가 싫은게 아니라 과거가 싫은거지 나도 과거가 존나 많았으면 이런 생각 안할텐데 찌질한새끼	0
보고	보고싶어보고시퍼보고싶어보고싶어	0
의미,무언가	의미를 찾을수있는 무언가가 또 있을까	0
압도	나를 진빠지게 해. 아니다. 넌 나보다 우월하니까. 나를 압도하니까. 보고싶네	0
소리	놀리고 딴소리 하고 내가 그렇게 싫은가봐 밉다	0
뿡탄노,가사	뿡탄노래 가사 모르겟노	0
갑자기	갑자기 떠오른게 앞에거보다 말도안되게 더 크네 미치겠다	0
진짜,부수	진짜 다때려부수고싶네	0
마구,진정	마구 뛰어. 진정이 안돼. 말해줘. 괜찮아. 	0
가면	가면 안돼?? 싫어??	0
도대체,어디	도대체 넌 어디있는거야	0
도데	이게 뭐하는 거냐 도데체 아	0
시발,처음	시발 처음이랑 같노	0
애기	애기 보는거같네 ㅋㅋㅋ	0
봄날,봄날,오지,과연,봄날	이미 봄날같지도 않은 봄날이 지나간 것일까  아니면 아직 오지 않은 것일까 하,,,,,,,,,,,,,,,,  과연 봄날이란 있을까 싶기도 하고 모르겠다	0
잣됫다,나진	아아아아아아  돌아가면 못나온다 잣됫다  아나진짜	0
이성애자,양성애,오해	이성애자야..  양성애 이딴 것도 아니니까 오해하지마	0
고민	나는 너가 좋다는거. ㅋㅋㅋ 고민하지 마. 아무짓도 안 할게	0
이번	이번 생은 잘 살고있구나 싶다	0
진짜,진짜,사랑,하늘,만큼,사랑	진짜 행복해 죽을것 같애 아까 그 말 진짜야? 사랑해 하늘땅 만큼 사랑해	0
우리엄마	우리엄마 너무 불쌍해	0
소리,그냥,행동,학원	나 들으라고 한 소리인지 아니면 그냥 내 행동 욕하는건진 모르겠는데 나라는걸 아는건 아니겠지?학원 그만둘까	0
오늘,하루	오늘은 행복한 하루가 될수있길	0
머릿속,생각	머릿속에서 생각이 막 나와서 안심심하다	0
면욕,카페인,자기,내일,내일	수면욕만 있는데 카페인으로 자기싫어서 안자는데 자면 내일이 빨리 오니까 내일이 오는게 싫음	0
마지막,보고서	일어나자마자 스쳐지나갔어 마지막에는 떠나던 날 네가 날 보고서 눈이 엄청나게 흔들리던거야	0
갑자기,눈동자	갑자기 니가 생각나 나 뚫어지게 보는거 눈동자 흔들리는거	0
위산,때문	위산때문인거같은데	0
그냥,지능,하루,종일	그냥 힘만 ㅈㄴ무식하게 쎄졌으면좋겠다 지능은 하루종일 책읽고 키우고	0
병신,씨발,인터넷,사람,짝사랑,어매짝수,병신	내가 병신같다는거임 씨발 인터넷 사람 짝사랑하는게 어매짝수인 병신이지 뭐냐	0
일부러,사람,구석,해결,대감,신뢰	일부러 사람을 구석으로 몰기도 하지ㅇㅇ 해결해주는척 돕는척 유대감을 쌓고 신뢰하게 하고	0
거짓말,항상,거짓말,마음	거짓말이야? 항상 거짓말이네 슬프다 마음 아파	0
인터넷,관계	인터넷 뿐인 관계라서?	0
모든,만큼	내 모든 것을 줄 만큼	0
하루,그냥,습관,다른,사람	하루? 그냥 습관중이야 나는 다른 사람의 말을 빌리고	0
계속	계속 찾네 참 어이없게도	0
마음,자꾸	마음이 자꾸 커져요	0
여기,메리,크리스마스	난 여기서 너에게 메리 크리스마스를 올리고 있을까	0
평소,몰래	그럼평소에 많이먹어야할려나 근데 몰래먹어야하는데 많이먹을수가 없네	0
사랑,세상,제일,사랑	좋아해 사랑해 세상에서 제일 좋아해 >u0 사랑해	0
씨발,날짜,토요일,얘기,오늘,씨발,때문,곅획,씨발	아니씨발날짜를토요일까지라고지들이쳐얘기했으면오늘까지보내여ㅑ자ㅣㅣ씨발련들아그냥죽어니들때문에내곅획다밤ㄹㅇ망했음씨발아	0
상상,얼마나,존재	상상도 못할거야 네가  나에게 얼마나 큰 존재인지	0
감정,쓰레기통	감정쓰레기통 괴롭다 괴로워	0
재밋겟다	ㅜㅜ 재밋겟다..	0
시발	뭉개버리고 싶노 시발거	0
고딩,세피아,만화,보고,동기부여	고딩때 세피아 만화보고 동기부여 많이했는데 오랜만에 보니까 새롭노	0
내일,아침	내일 아침에 눈을 못 떴으면 좋겠네	0
이상,미련	더이상 뭐에도 미련이 없어	0
스트레스	아 스트레스 받아서 뒤져버릴거같애	0
여기	난 왜 여기에 있었던거지	0
리가	내가 잘 수 있을리가 없지	0
대체,싯팔	대체 왜 만나자는거야 싯팔	0
그게,마치,그것,아주,현실,문제,거지,그게,문제,애초	근데 그게 마치 되는냥  그것도 아주 잘 되는냥 믿고  현실성 없이 굴었던 나에게 문제가 있었던  거지 그래 그게 문제 였어  애초에	0
시발	내가 왜 가야해 시발	0
시체,입뷰,강간,그냥,시체	시체 입뷰지 강간하고 잡아먹음 그냥 시체 뷰지 박는 것도 있노	0
마음	같이 마음에도 네가 영원히 남아있겠지	0
세상,누구,제일	세상 그 누구보다 제일 엄청 많이	0
의미,그냥	억울하다 서러워 다 의미없는데 그냥 다	0
오늘,기분	왜 오늘은 술마셨는데도 기분이 좆같냐	0
인성,엄마,아빠,굳이,굳이,여기	인성은 좀 안좋지만 돈많은 지 엄마아빠랑 지내지 굳이굳이 여기 온다하네	0
씨발,검색,적도,적도,왜임	씨발 검색 한 적도 본 적도 없는데 왜임	0
머릿속,혼자,대화,인형,혼자,상상,저런,그날,이야기,완성	머릿속에서 혼자 대화하는거 인형들을 늘어놓고 혼자 상상을 하지 이런 말 저런 말 늘어놓다보면 그날의 이야기가 완성되지	0
소리,머릿속	글과 소리가 떠다녀 네 머릿속에서	0
다음	둘 다 인 것같은데.. 그럼 다음은	0
잠깐,조금,어디	잠깐만 조금 있다가 나아가야해 근데 어디로	0
중독,근원	중독근원을 찾아야해 내가 왜 이런지 알아야해	0
몰입	근데 뭐가 맞는지 모르겠다 확실한건 과몰입중이다	0
잠시	잠시 있다가 와야지	0
정말,사람	너는 정말 좋은 사람이야	0
풍선껌	풍선껌 향처럼 가볍고 달콤하다	0
새끼,버스,타고,댕기,자꾸	할거없는 새끼들 싸돌아다니려고 버스타고 다니네 ㅅㅂ 좀 돌아댕기지좀 말라고 썅 자꾸 들어오네	0
금요일,씨발	금요일 개씨발 시러	0
뻘쭘,하농	놈딱뻘쭘하농......	0
존재,그냥,거지,문제,거지,그냥,세상,누가	나는 뭘까 걔한테서의 나는 어떤 존재인지 알거같지만 그냥 나는 뭐지 뭐가 하고싶은 거지 뭐가 문제인거지 그냥 다 필요없고 사라지고싶다 세상에서 누가 지워줬으면	0
다른,사람,인생,이야기,정도,노답,생인,사람,주작	다른 사람들이 내 인생이야기 들어보면 그정도로 노답앰생인 사람이 어딨냐고 주작이라고 할 듯ㅋㅋ	0
차이,하나,제발,누가	나는 뭐가 힘든거지 왜 지치는거지 전에 있었던 애랑 차이가 뭐지 이게 내가 힘든게 맞나 하나도 모르겠네 제발 누가 알려줬으면 좋겠다	0
역시,맹목,사랑	역시 맹목적인 사랑은 피가 섞이지 않으면 불가능한가	0
앰생,만화,낫다,자위,엊그제,사실	앰생만화보면서 내가 쟤네보단 낫다 ㅇㅈㄹ하면서 자위하던게 엊그제같은데ㅋㅋㅋ사실 아직도 그럼	0
생각,급식,학교,학생,시절	생각없이 급식먹으러 학교다니던 학생시절에 아직도 머무는 중	0
우리,엄마	ㅋㅋ우리 엄마 불쌍해	0
창문	창문으로 나갈래요 	0
오늘,더욱,하루	오늘도 꿈에선 더욱 멀어지며 하루는 또 낭비했지	0
느낌,진짜,혼자,병신	아 느낌이 아니라 진짜 혼자인데 난 병신이다	0
아엉어앙	ㅠㅠㅠㅜ으어어어어ㅏ어아아아아ㅏ아엉어앙ㅇ	0
자고,안구건조증	자고 일어나니 안구건조증 없어서 좋아	0
역시,인생	역시 이럴줄 알았어 내인생 빨리 끝내고싶다 죽고싶다	0
세상,점차	나도 그 세상에 점차 물들어가고 있는거 같다	0
자존심,소리,바락바락,뭔가,그냥,자리,후회	쓸대없이 자존심 지키겠다고 개소리 바락바락하면서 그렇게 말 했어야됐냐고 말하고 나서도 뭔가 잘못됀걸 알면서도 왜 그냥 자리를 뜨는건데 이렇게 후회할거 알면서 왜 그러는건데	0
눈물,중이	눈물은 안나오는데 아무튼 우는중이야	0
지금,다른,바보	그래서 난 지금과 다른 바보가 되려 해	0
그게	그게 싫어서 도망쳤어	0
씨발,사랑	좆같다 씨발... 사랑해 내가 더 찐하게 너랑 모든걸 다할거야	0
감정,생각,정작,기분,과거	ㄹㅇ 감정이라는게 뜻대로 안되네 ㅋㅋ 잘못된 생각인걸 알면서 정작 기분상한 나도 과거가 없는거 아닌데 못된놈이네 나	0
그냥,사과	그냥 사과하고 싶었어	0
문제,씨발,진짜	뭐가문제인데씨발진짜	0
그냥,야식,양치	그냥 확실하게 야식 먹고 양치하려고	0
갑자기,지하	갑자기 지하로 갔어	0
병신,씨발	속은 내가 병신이다 씨발	0
말로,표현	좆같다고 꼭 말로만 표현할 수 있는건 아니잖아요	0
세월,제대로,가치관,하나	어떻게 그 영겁의 세월을 살면서 제대로 된 가치관 하나를 못 챙겼냐	0
진심,혐오	진심으로 너무 혐오스러워	0
시발	시발...죽 식히고 먹을걸	0
이제,일주일,건가,시간,벌써,올해,다가	이제 일주일 남은 건가  시간이 빠르긴 하다  ㄹㅇ 벌써 올해가 다가고	0
기분,가끔,항상,마음,요새	나는 잘 모르겠음 언제나 숨쉬고 있어서 사는 기분임 그래도 가끔 재밌고 행복하고 좋고 그러긴 했지만 난 항상 마음이 조급함 요새는	0
방금,상태,다른,아이스크림,마찬가지,바닐라	방금 막 꺼낸 딱딱한 상태에서 먹으면 맛이 없어 다른 맛 아이스크림도 마찬가지지만 특히 바닐라가 심한 것 같음	0
착각,생각	착각이 아니야 생각이 다를뿐	0
착각	실이 있다고 믿고 착각하고	0
본능,때문,머리,잠시	본능때문에 머리가 잠시 맛이 가는거야	0
그냥	그냥 살고싶어한거야	0
사람,생각,잡담,하나,마치,확인,마냥	그래서 사람들이 아무생각없는 척 잡담을 하나봐. 마치 이렇게 되는게 옳다는걸 확인이라도 받는 것마냥	0
감정,순환,순환,순환	감정의 순환에 순환에 순환에	0
인생,그냥,시간	인생이라 거창하게 말해도 뭐라도 할 뿐이지 그냥 한가롭게 시간을 보낼 뿐이잖아	0
진짜	난 진짜 아무것도 아니었으니까	0
점점	맨나ㅏㄹ괴롭다맨날슬프다우울하다죽고싶다점점	0
쌍둥이,쌍둥이,동생,여친	쌍둥이 형이 쌍둥이 동생 여친 ntr ㄷㄷ	0
병신,차단	근데 그런 거 써서 올리면 병신이라고 차단당할듯	0
씨발롬	씨발롬아  행복해라	0
모든,실마리	모든 실마리가 풀렸어	0
버티고	아직은 버티고 있지만	0
따옴표,강조,웃기	따옴표로 강조하는 거 넘모 웃기고ㅋㅋㅋ	0
공구,새끼,택배,주소	공구하는 새끼가 택배 주소 잘못적었네 ㅅㅂ	0
사람,시선	잊혀지지않는다 사람들에 시선이 또 다들 나 욕했겠지	0
다시	다시 볼수잇따면~~~~~~~~	0
셋습,씨발련,진짜	저한케 왜이러시는지모르셋습니다 씨발련아 진짜	0
갑자기,옛날,좆목,댓글,씨발	갑자기 옛날 글에 뜬금없이 좆목내나는 댓글 쓰고 좆같네 씨발	0
그냥,이불	그냥 이불 덮고 눈감고 울고싶어	0
택할	버리고싶지 않으니 버려지는 것을 택할 수 밖에	0
존나,마음,씨발,때문	존나 마음이 아파 씨발 너 때문에	0
바라지,진심,의심,테스트,계속,들러붙어	난 너한테 아무것도 바라지않고 진심을 줬는데 너는 나를 의심하고 테스트를 하면서 계속 들러붙어	0
그냥,나이,수식	그냥 나이고 그 외의 수식은 내 것이 아닌 너의 것이야	0
본질,주변,사람,과분,기대	본질은 초라하고 추악하지만 주변 사람들에게 과분한 기대를 넘치도록 받고있다	0
사랑,노잼,인생,재미,주어	사랑래줘도되고죽여줘도되고미워해줘도돼 좃노잼인생에 재미를 주어...	0
주인공,오늘,마지막,하나,마침표,지금,감정,기복	나를 주인공을 만들었다면 오늘 찍힌 마지막 하나의 마침표는 지금 나의 감정기복이 정한 것일까	0
식욕,거의,점점,타이밍,건가	몇달전에 죽을려고 할때도 식욕 거의 없었는대 점점 타이밍이오는건가	0
사람,시간,우린,진실	술마시며사람찾는시간속에...우린진실을잊고살잖아	0
스물,다섯,스물,하나	스물다섯 스물하나	0
눈물,새끼	눈물밖에 흘릴줄 모르는 무능한 새끼 빨리 죽었으면	0
나름	그래서 나름 잘 참고있는데	0
무언가,능력,마음,위로	무언가를해줄능력도마음을위로해주는말도못하는데	0
정신병,도태,한남	정신병자도태한남이지만그래도	0
다그,도안,의지	어떻게말해야될지모르겠다그냥나한테도안말해주고나는그냥의지도안되는것같다	0
구석,탈출	이 집구석을 빨리 탈출해야겠어	0
일주일,금요일	일주일에 금요일이 두 번이라니 미쳤다	0
죽음	두 눈에서 죽음을 지웠어	0
기일,젤리	곧 기일이다 너의 젤리를 아직도 쥐고있어 나는	0
자고,꼬리,동생,먼저,친구,기억,젤리	먹고 자고 싸고  나의 꼬리달린 동생처럼 나의 먼저 간 친구처럼 내가 기억하는 젤리처럼	0
대문,복도,주차장,생각	대문 앞 복도에서 주차장을 내려다보며 그런 생각을 했지	0
히키,사람,자랑	나도 히키했었는데 안해본 사람이 많으니 자랑맞음	0
히키,자랑,사회생활,진작	히키 몇년 차 이런게 자랑이냐고?그래서 안나가는거냐고? ㅋㅋ아 나도 너처럼 사회생활 잘하고 그럴 슈 있다면 진작 밖에 나갔지	0
헤엄,두운	헤엄치고 어두운 곳까지 가보고 싶어	0
생각	딴 생각 해서ㅋㅋ	0
범고래	아주아주 예쁜 범고래였으면 좋겠다	0
그냥,이불	그냥 이불 두를까	0
진짜,하루하루	너무 힘들다 진짜 하루하루	0
이제	너도 이제 끝낼래	0
낭비	쓸데없는 낭비가 너무 많았어	0
남자,국가,군대,삼조	그럼 남자들도 좋고 국가도 좋고 군대도 좋고 일석삼조 아니냐?	0
그냥	그냥 사라지고싶다	0
새끼,눈치	이 씹새끼는 눈치가 있는거냐 없는거냐	0
이제	이제 폰에선 지울거임	0
쓰레기	쓰레기는 바뀌지않는다	0
아무,잘못	왜 나를 싫어하는거야 아무 잘못 없다면서..	0
조공,해헤햏,커피,고민	조공뿐 해헤햏 자기전에 커피를 마실까 말까 고민이넹	0
정신	쫌 정신 쫌 차리자	0
정도	그 정도만 다를 뿐이지	0
노래,정작	노래MR은 있는데 정작 원곡이 없네	0
참깨스,야채,스틱	참깨스틱이 아니라 야채스틱이었음 ㅅㅂ ㅈㄴ 안어울림	0
건가	한달은 기다려야하는건가?	0
누군가,하나,구세주	누군가의 단 하나뿐인 구세주	0
베이컨,계란,설탕,존나,토스트,통째,샤인,머스켓	베이컨에 계란에 설탕존나발라져잇는 토스트한개통째로 먹고 샤인머스켓까재 먹고나니까 뛰어네리고싶음	0
라라라라,라라,라르,라라	라랄라라라라라라ㅡ라르ㅡ차차르르르라라ㅏㄹ	0
위안	군지 좀 위안되나?	0
너희,선생님	더 행복한건 나뿐만이 아닐거야 너희를 만나서 선생님은 너무 행복해	0
정말,나무	넌 정말 아낌없는 나무야	0
지점,근사치	어려워 네가 원하는 그 지점의 근사치도 못 가 나는	0
처럼,행동	mbti는 t나오면서 왜 f처럼 행동하냐고 짜증나	0
머리,정도,눈물,계속	머리가 아플정도로 울었는데도 눈물이 계속 나	0
밤낮	어쩌다 밤낮이 뒤집혀졌지	0
다시,생각	다시 안 그럴거란 생각은 안 했으니까 뭐..	0
동안,행동,컨트롤,예정	그래도 눈 뜨고 있는 동안에 내 행동을 내 컨트롤 안에 둘 수 있도록 할 예정	0
일이,이해,배려,예정	쟤가 힘든일이 있나봐 하며 이해를 바라거나 배려해주라고 징징거리지도 않을 예정	0
기분	여전히 숨을 깊게 들이마시지도 못할 것 같은 기분이지만	0
갑자기,면죄부,기분	왜 몰랐지 갑자기 면죄부를 얻은 기분이야	0
누구,자기,우선,우선	누구든 자기가 우선이니까 나도 내가 최우선이 되면 돼	0
지금,그냥,다음	지금 이렇게 힘들어하고있으니까 그냥 다음부턴 줄이면 돼	0
그냥,사람	그냥 바쁘고 일이 많아서 지친거뿐이야 사람이잖아	0
자책,상처	자책하지말고 상처를 깊게 후벼파지도 말고	0
합리화,그냥,그대로	그렇다고 합리화하지 말고 그냥 있는 그대로를 봐야겠지	0
진심	내게 하는 말을 진심으로 듣고싶어	0
당장	당장에만 좋지 힘들고 지치고 짜증나고	0
오늘	오늘은 많이 지치네	0
사표,방법	내가 사표를 쓰는 방법밖에는 없지 그치	0
울면,면죄부	울면 도망칠 수 있을까 면죄부를 받을 수 있을까	0
정말,순간	정말 한 순간도 편하지가 않은데 어째야하지	0
그동안	난 뭘 한걸까 그동안	0
기억,이름	다정한 기억과 그리운 이름	0
우울함,자꾸	우울함이 자꾸 괴롭히는거 같아요...	0
전원,볼륨,머릿속,컨트롤,얼마나	전원끄듯이 볼륨 줄이듯이 내 머릿속을 컨트롤할 수 있다면 얼마나 좋을까	0
생각,사람,별로,이제야	그렇게 생각해주는 사람은 별로 없단걸 이제야 알았어	0
그것,정답,순간	그것밖에 정답이 없다는 걸 정말로 깨닫게되는 순간이 오면 어떡하지	0
상대방	어짜피 뱉은건 상대방이고 내가 받아들이지만 않으면 되는데	0
실수,그거,때문,신경	작은 실수도 하기 싫고 그거때문에 신경쓰고 괴로운 것도 싫어	0
신경,주의,해도	신경쓰고 주의하고있다고는 해도 안 보일만한 건 백번 봐도 눈에 안 띄어	0
절하	절하고 뛰쳐나갈텐데	0
차라리,해고	ㅋㅋㅋㅋㅋㅋㅋㅋㅋ차라리 나를 해고시켜주세요....	0
정말,사고,하나	이러다가 정말 큰 사고를 하나 낼거같아서 겁난다	0
마음껏,생각,그것	마음껏 울고싶어 근데 울기 위해서는 아픈 생각을 떠올려야하니까 그것도 무서워	0
당신	당신은 좋은 밤을 보내고 예쁜 꿈을 꾸기를	0
정말,행동,걱정	이러다가 정말 충동적으로 그만 살고싶다고 말하고 행동할까봐 걱정돼	0
누가,잘못,알기	누가 잘못해서 이렇게 됐는지 알기라도 했으면 좋겠다 속 시원하게 원망하고 탓 돌리게	0
생각	쓰잘데기없는 생각 좀 안 하고 살았으면 좋겠다	0
헛구역질,대체,는걸	속이 울렁거려서 헛구역질이 나올것만같아 대체 왜 이러고 사는걸까	0
항상,몰랑이,개시	항상 저지른새낀 아몰랑이지 개시발이네	0
매일,연속,보장	매일 연속된 8시간 만이라도 보장되면 좋겠다 죽을거 같다	0
거던,반복,현재	이거던저거던 반복만 하지말고 현재를 살어라 좀	0
이번,년도,상술	이번년도 상술에 넘어가줘야겠네	0
하루하루,그냥,씨발,병신,인생,자살,씨발,씨발	하루하루 그냥 쳐 보내고 씨발 개 좆병신같은인생 걍 자살할까 씨발 다 죽여버리고싶니씨발개	0
가나	니가나에게서멀어진줄도 모르고~	0
점수,슬리데린	1년동안 열심히 점수 쌓아온 슬리데린애들 개불쌍함 ㄹㅇ	0
친구,모두,안녕	친구들 모두 안녕	0
밤낮,아예	밤낮이 아예 바뀌어버렸네	0
퍼레이드	2019년에도 퍼레이드 했어	0
환각	그 환각이랑 손잡고 애틋하게바라보고 쓰다듬고 맛있는거먹으러가고	0
섹스,섹스,섹스,섹스,섹스	섹스섹스섹스섹스섹스	0
연락,시발	연락 좀 그만 했으면 좋겠다 시발	0
씨발,병신,진짜	씨발병신같은년이진짜	0
올해,이제,과부,화가,인간관계,에너지	올해도 일 너무 열심히 해서 이제 과부화가 걸려서 그런걸까 아니면 인간관계에 너무 에너지를 많이 써서 힘든걸까 하여간에 사는게 참 녹록치 않다	0
사고,택배	갖고싶은거 다 사고 택배 받기 전까지는 그래도 안 죽고 버텨봐야지	0
기분,자꾸,겨울,기차역,이미지	이런 기분이 들면 자꾸 겨울 기차역 이미지가 생각나	0
제발,잘못	오지마제발내가잘못햇어	0
엠창	엠창ㅋㅋㅋㅋㅋㅋㅋㅋ	0
진짜,왜그러지,진짜,내일	진짜 아닌거 아는데 왜그러지? 진짜 딱 내일까지만 믿어봐야지	0
지금,약간,조증,상임	지금 약간 전조증상임	0
인사,그리움만	인사 없이 떠나시던 날 그리움만 두고 가네	0
질리,슈크림	팥은 질리고 슈크림은 너무 단데	0
학식	아닌가 학식들인가	0
하루,어케,시발	하루 5천자를 어케 채워 시발 적당히 좀	0
노래	노래를 너무 못해서 슬퍼	0
일도	아무일도 없기를 무사히 지나가기를	0
도정	도정제	0
퍼레이드	2019년에도 퍼레이드 했어	0
이틀,내내,진짜	이틀 내내 잠을 못 자니까 죽겠다 진짜	0
기억,이름	다정한 기억과 그리운 이름	0
텐션	텐션 떨어지네 아	0
그나,특정,다수,눈치,드립,난무,디씨	안그나 왜 불특정 다수의 눈치를 봐야하지? 패드립이 난무하는 디씨에서 말이야...엉?	0
누구,익명,눈치,보고,조심,대해,그냥,디씨,게일	누구는 나를 알아보더라도 나한테는 다 익명일뿐인데 내가 뭘 눈치보고 더 조심스럽게 대해야하지? 그냥 평범함 디씨의 익게일뿐인데 왜 그래야하지?	0
도저히,생각,생각,소모,결론,타인,표현,짜증,마이웨이	근데 도저히 답을 모르겠어 생각이 생각에서 그치니까 소모만 되고 결론은 없고 결국 타인이 솔직하게 표현해주는 것 밖에 없는데 그렇지도 않으니까 짜증만 나고 나도 마이웨이 가는거지	0
적중	ㅋㅋㅋㅋㅋㅋㅋㅋㅋ적중	0
